,id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break,link_odsp,adv_stats,date,league,season,country,ht,at,fthg,ftag,odd_h,odd_d,odd_a,odd_over,odd_under,odd_bts,odd_bts_n
9315,W0scuwXc/,W0scuwXc18,18,20,Zlatan Ibrahimovic (Milan) wins a free kick on the left wing.,8,,1,AC Milan,Lazio,zlatan ibrahimovic,,,,,,0,4.0,,0,,0,/soccer/italy/serie-a-2011-2012/ac-milan-lazio-W0scuwXc/,True,2011-09-09,I1,2012,italy,AC Milan,Lazio,2,2,1.64,3.85,7.4,,,,
9320,W0scuwXc/,W0scuwXc23,23,21,"Offside, Milan. Antonio Cassano tries a through ball, but Zlatan Ibrahimovic is caught offside.",9,13.0,1,AC Milan,Lazio,zlatan ibrahimovic,antonio cassano,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/ac-milan-lazio-W0scuwXc/,True,2011-09-09,I1,2012,italy,AC Milan,Lazio,2,2,1.64,3.85,7.4,,,,
9331,W0scuwXc/,W0scuwXc34,34,29,"Goal!  Milan 1, Lazio 2. Zlatan Ibrahimovic (Milan) right footed shot from very close range to the bottom left corner. Assisted by Antonio Cassano.",1,12.0,1,AC Milan,Lazio,zlatan ibrahimovic,antonio cassano,,,3.0,1.0,1,13.0,1.0,1,1.0,0,/soccer/italy/serie-a-2011-2012/ac-milan-lazio-W0scuwXc/,True,2011-09-09,I1,2012,italy,AC Milan,Lazio,2,2,1.64,3.85,7.4,,,,
9340,W0scuwXc/,W0scuwXc43,43,34,Foul by Zlatan Ibrahimovic (Milan).,3,,1,AC Milan,Lazio,zlatan ibrahimovic,,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/ac-milan-lazio-W0scuwXc/,True,2011-09-09,I1,2012,italy,AC Milan,Lazio,2,2,1.64,3.85,7.4,,,,
9368,W0scuwXc/,W0scuwXc71,71,59,"Offside, Milan. Antonio Cassano tries a through ball, but Zlatan Ibrahimovic is caught offside.",9,13.0,1,AC Milan,Lazio,zlatan ibrahimovic,antonio cassano,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/ac-milan-lazio-W0scuwXc/,True,2011-09-09,I1,2012,italy,AC Milan,Lazio,2,2,1.64,3.85,7.4,,,,
9381,W0scuwXc/,W0scuwXc84,84,71,"Offside, Milan. Massimo Ambrosini tries a through ball, but Zlatan Ibrahimovic is caught offside.",9,13.0,1,AC Milan,Lazio,zlatan ibrahimovic,massimo ambrosini,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/ac-milan-lazio-W0scuwXc/,True,2011-09-09,I1,2012,italy,AC Milan,Lazio,2,2,1.64,3.85,7.4,,,,
9383,W0scuwXc/,W0scuwXc86,86,72,Zlatan Ibrahimovic (Milan) wins a free kick on the right wing.,8,,1,AC Milan,Lazio,zlatan ibrahimovic,,,,,,0,5.0,,0,,0,/soccer/italy/serie-a-2011-2012/ac-milan-lazio-W0scuwXc/,True,2011-09-09,I1,2012,italy,AC Milan,Lazio,2,2,1.64,3.85,7.4,,,,
9386,W0scuwXc/,W0scuwXc89,89,74,Attempt missed. Zlatan Ibrahimovic (Milan) left footed shot from the left side of the box misses to the left. Assisted by Antonio Cassano with a through ball.,1,12.0,1,AC Milan,Lazio,zlatan ibrahimovic,antonio cassano,,,8.0,2.0,0,9.0,2.0,4,1.0,0,/soccer/italy/serie-a-2011-2012/ac-milan-lazio-W0scuwXc/,True,2011-09-09,I1,2012,italy,AC Milan,Lazio,2,2,1.64,3.85,7.4,,,,
9395,W0scuwXc/,W0scuwXc98,98,85,Attempt saved. Zlatan Ibrahimovic (Milan) left footed shot from the left side of the box is saved in the centre of the goal. Assisted by Antonio Cassano.,1,12.0,1,AC Milan,Lazio,zlatan ibrahimovic,antonio cassano,,,5.0,1.0,0,9.0,2.0,1,1.0,0,/soccer/italy/serie-a-2011-2012/ac-milan-lazio-W0scuwXc/,True,2011-09-09,I1,2012,italy,AC Milan,Lazio,2,2,1.64,3.85,7.4,,,,
27597,KEsUftTC/,KEsUftTC2,2,2,Foul by Zlatan Ibrahimovic (Milan).,3,,2,AC Milan,Juventus,zlatan ibrahimovic,,,,,,0,,,0,,0,/soccer/italy/serie-a-2011-2012/juventus-ac-milan-KEsUftTC/,True,2011-10-02,I1,2012,italy,Juventus,AC Milan,2,0,2.76,3.27,2.98,,,,
