,league,season,window,team_id,team_name,team_country,dir,player_id,player_name,player_age,player_nation,player_nation2,player_pos,counter_team_id,counter_team_name,counter_team_country,transfer_fee_amnt,market_val_amnt,is_free,is_loan,is_loan_end,is_retired,transfer_id
7035,GB1,2016,s,985,Manchester United,England,in,3455,Zlatan Ibrahimovic,34.0,Sweden,Bosnia-Herzegovina,CF,583,Paris Saint-Germain,France,0.0,4000000.0,True,False,False,False,1519372
8352,GB1,2017,w,985,Manchester United,England,left,3455,Zlatan Ibrahimovic,36.0,Sweden,Bosnia-Herzegovina,CF,1061,Los Angeles Galaxy,United States,0.0,4000000.0,True,False,False,False,2070239
11611,ES1,2009,s,131,FC Barcelona,Spain,in,3455,Zlatan Ibrahimovic,27.0,Sweden,Bosnia-Herzegovina,CF,46,FC Internazionale,Italy,69500000.0,4000000.0,False,False,False,False,324955
12117,ES1,2010,s,131,FC Barcelona,Spain,left,3455,Zlatan Ibrahimovic,28.0,Sweden,Bosnia-Herzegovina,CF,5,AC Milan,Italy,6000000.0,4000000.0,False,True,False,False,473616
12725,ES1,2011,s,131,FC Barcelona,Spain,in,3455,Zlatan Ibrahimovic,29.0,Sweden,Bosnia-Herzegovina,CF,5,AC Milan,Italy,,4000000.0,False,True,True,False,473617
12729,ES1,2011,s,131,FC Barcelona,Spain,left,3455,Zlatan Ibrahimovic,29.0,Sweden,Bosnia-Herzegovina,CF,5,AC Milan,Italy,24000000.0,4000000.0,False,False,False,False,583543
19881,IT1,2009,s,46,FC Internazionale,Italy,left,3455,Zlatan Ibrahimovic,27.0,Sweden,Bosnia-Herzegovina,CF,131,FC Barcelona,Spain,69500000.0,4000000.0,False,False,False,False,324955
21326,IT1,2010,s,5,AC Milan,Italy,in,3455,Zlatan Ibrahimovic,28.0,Sweden,Bosnia-Herzegovina,CF,131,FC Barcelona,Spain,6000000.0,4000000.0,False,True,False,False,473616
22431,IT1,2011,s,5,AC Milan,Italy,in,3455,Zlatan Ibrahimovic,29.0,Sweden,Bosnia-Herzegovina,CF,131,FC Barcelona,Spain,24000000.0,4000000.0,False,False,False,False,583543
22481,IT1,2011,s,5,AC Milan,Italy,left,3455,Zlatan Ibrahimovic,29.0,Sweden,Bosnia-Herzegovina,CF,131,FC Barcelona,Spain,,4000000.0,False,True,True,False,473617
23299,IT1,2012,s,5,AC Milan,Italy,left,3455,Zlatan Ibrahimovic,30.0,Sweden,Bosnia-Herzegovina,CF,583,Paris Saint-Germain,France,21000000.0,4000000.0,False,False,False,False,751914
34017,IT1,2019,w,5,AC Milan,Italy,in,3455,Zlatan Ibrahimovic,38.0,Sweden,Bosnia-Herzegovina,CF,1061,Los Angeles Galaxy,United States,0.0,4000000.0,True,False,False,False,2701191
45053,FR1,2012,s,583,Paris Saint-Germain,France,in,3455,Zlatan Ibrahimovic,30.0,Sweden,Bosnia-Herzegovina,CF,5,AC Milan,Italy,21000000.0,4000000.0,False,False,False,False,751914
47100,FR1,2016,s,583,Paris Saint-Germain,France,left,3455,Zlatan Ibrahimovic,34.0,Sweden,Bosnia-Herzegovina,CF,985,Manchester United,England,0.0,4000000.0,True,False,False,False,1519372
